Title,Year,Rating,Description,Keywords,Genre
The Shawshank Redemption,1994,87,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","prison, corruption, police brutality, based on novel or book, prison cell, hope, delinquent, friendship, freedom, parole board, prison escape, redemption, wrongful imprisonment, interracial friendship, framed for murder, 1940s, voiceover, enchant","Drama, Crime"
The Godfather,1972,87,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","italy, loss of loved one, love at first sight, based on novel or book, europe, symbolism, gangster, patriarch, organized crime, mafia, lawyer, religion, revenge motive, crime family, sicilian mafia, religious hypocrisy, gun violence, rise to power, dead horse, gang violence, 1940s, 1950s, mafia war, powerful","Drama, Crime"
Selena Gomez: My Mind & Me,2022,86,"After years in the limelight, Selena Gomez achieves unimaginable stardom. But just as she reaches a new peak, an unexpected turn pulls her into darkness. This uniquely raw and intimate documentary spans her six-year journey into a new light.","music documentary, admiring","Documentary, Music"
The Godfather Part II,1974,86,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","italy, new york city, new year's eve, italian american, cuba, based on novel or book, symbolism, blackmail, senator, gangster, praise, revenge, murder, betrayal, organized crime, mafia, lawyer, extortion, suburb, sicilian mafia, corrupt politician, macabre, 1950s, new year, violence","Drama, Crime"
Schindler's List,1993,86,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"factory, concentration camp, hero, holocaust (shoah), ss (nazi schutzstaffel), world war ii, ghetto, jew persecution, kraków, poland, auschwitz-birkenau concentration camp, industrialist, nazi, defense industry, biography, based on true story, historical fiction, black and white, train, poland, evil, weapons manufacturer, disheartening, nazi train","Drama, History, War"
12 Angry Men,1957,85,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.","judge, jurors, death penalty, anonymity, court case, witness, knife, matter of life and death, innocence, murder, based on play or musical, trial, debate, capital punishment, black and white, courtroom, angry, courtroom drama",Drama
Spirited Away,2001,85,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","witch, parent child relationship, magic, darkness, bath house, spirit, parallel world, amusement park, youkai, japanese mythology, anime","Animation, Family, Fantasy"
The Dark Knight,2008,85,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","crime fighter, secret identity, anti hero, scarecrow, sadism, chaos, vigilante, superhero, based on comic, tragic hero, organized crime, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir, bold","Drama, Action, Crime, Thriller"
Dilwale Dulhania Le Jayenge,1995,85,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","family's daily life, family history, love-hate relationship, family drama, love affair, curious, casual","Comedy, Drama, Romance"
The Green Mile,1999,85,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","southern usa, mentally disabled, based on novel or book, death penalty, death row, jail guard, great depression, supernatural, psychopath, prison guard, jail, electric chair, capital punishment, torture, magic realism, healing, 1930s, abuse of power, compassionate, cruel","Fantasy, Drama, Crime"
Parasite,2019,85,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","birthday party, private lessons, dark comedy, con artist, working class, infiltration, psychological thriller, class differences, housekeeper, tutor, family, hidden room, unemployed, shocking, hiding in attic, domestic worker, wealthy family, south korea, caste violence, seoul, south korea, suspenseful, intense","Comedy, Thriller, Drama"
The Lord of the Rings: The Return of the King,2003,85,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​","elves, dwarf, based on novel or book, obsession, magic, castle, volcano, giant spider, bravery, kingdom, army, sequel, honor, king, brutality, madness, split personality, fantasy world, wizard, epic battle, journey, ring, quest, live action and animation, hero's journey, high fantasy, wraith, sword and sorcery, power madness, great war, trekking, good versus evil, sword making, war, hopeful, winged creatures, armies, spirits","Adventure, Fantasy, Action"
Pulp Fiction,1994,85,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","drug dealer, stolen money, crime boss, redemption, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir, absurd","Thriller, Crime, Comedy"
Your Name.,2016,85,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.","dreams, time travel, race against time, comet, natural disaster, supernatural, afterlife, high school, romance, tragedy, school, body-swap, high school student, nonlinear timeline, naked, star crossed lovers, power of love, anime, japanese high school, loving, romantic","Animation, Romance, Drama"
"The Good, the Bad and the Ugly",1966,85,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.","bounty hunter, refugee, gold, anti hero, gallows, hitman, army, outlaw, gun battle, shootout, moral ambiguity, spaghetti western, graveyard, american civil war, stolen gold, complex, hidden gold, suspenseful, gun death, cemetary, confederate gold",Western
Interstellar,2014,85,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"artificial intelligence (a.i.), nasa, time warp, spacecraft, expedition, future, wormhole, space travel, famine, black hole, dystopia, race against time, hibernation, quantum mechanics, space, rescue, family relationships, robot, astronaut, scientist, single father, farmer, space station, space adventure, time paradox, cryonics, father daughter relationship, 2060s, cornfield, time manipulation","Adventure, Drama, Science Fiction"
Forrest Gump,1994,85,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","vietnam veteran, post-traumatic stress disorder (ptsd), hippie, washington dc, usa, new year's eve, single parent, mentally disabled, based on novel or book, waitress, usa president, optimism, parent child relationship, 1970s, autism, drug addiction, alabama, vietnam war, black panther party, bus stop, friendship, family relationships, chameleon, single mother, military, nostalgic, anti war protest, 1960s, college american football, mother son relationship, america, dramatic, feel-good","Comedy, Drama, Romance"
GoodFellas,1990,85,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","new york city, prison, based on novel or book, florida, 1970s, mass murder, irish-american, drug trafficking, gangster, biography, based on true story, murder, organized crime, gore, mafia, brooklyn, new york city, crime epic, tampa, florida","Drama, Crime"
Seven Samurai,1954,85,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.","japan, martial arts, samurai, sword, forbidden love, peasant, looting, rice, fencing, village, moral ambiguity, black and white, battle, bandit, practice, farmer, jidaigeki, 16th century, class relations, collectivism, plunder, downtrodden farmers, casual, bushi, tactical warfare, violence, violent","Action, Drama"
Grave of the Fireflies,1988,84,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.","sibling relationship, hunger, world war ii, shelter, wartime, struggle for survival, pacific theater, adult animation, semi autobiographical, anti war, anime, grim, orphan siblings, children in wartime, distressing","Animation, Drama, War"
Squid Game: Making Season 2,2025,84,"From set designs to character arcs, get exclusive cast and director interviews on how Season 2 of the globally most-watched series was brought to life.",making of,Documentary
David Attenborough: A Life on Our Planet,2020,84,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.","climate change, biography, destruction of planet, nature, evolution, future vision, climate observatory, nature documentary, semi-biographical, save the planet, planet earth, future earth, animal evolution, climate breakdown, vision of the future, ecological disaster, climate emergency, not too distant future, climate crisis","Documentary, Drama"
Life Is Beautiful,1997,84,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,"italy, riddle, loss of loved one, bookshop, self sacrifice, mass murder, concentration camp, holocaust (shoah), fascism, world war ii, love of one's life, deportation, jew persecution, nazi, national socialism, charade, riding a bicycle, story teller, concentration camp prisoner, dying and death, romcom, dark comedy, dark, war, nazi germany, hopeful, livraria","Comedy, Drama"
Fight Club,1999,84,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","based on novel or book, support group, dual identity, nihilism, fight, rage and hate, insomnia, dystopia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness","Drama, Thriller"
Harakiri,1962,84,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.","japan, suicide, asia, samurai, revenge, flashback, poverty, black and white, seppuku, ronin, jidaigeki, edo period, 17th century, shogunate, bushi, bakumatsu, distressing, excited","Action, Drama, History"
